Code,Area,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2000_1,2001_1,2002_1,2003_1,2004_1,2005_1,2006_1,2007_1,2008_1,2009_1,2010_1,2011_1,2012_1,2013_1,2014_1,Avg_Ann_Growth_rate
E09000001,City of London,40400,65000,38300,37000,39200,44400,49300,49000,58500,61900,61300,51600,58300,65300,61100,60000,0.608910891,-0.410769231,-0.033942559,0.059459459,0.132653061,0.11036036,-0.006085193,0.193877551,0.058119658,-0.009693053,-0.158238173,0.129844961,0.120068611,-0.06431853,-0.018003273,1.025027738
E09000002,Barking and Dagenham,15100,15600,16200,17000,17400,16600,17900,17600,18600,19400,19400,19600,20100,21000,21800,22100,0.033112583,0.038461538,0.049382716,0.023529412,-0.045977011,0.078313253,-0.016759777,0.056818182,0.043010753,0,0.010309278,0.025510204,0.044776119,0.038095238,0.013761468,1.024090784
E09000003,Barnet,18700,19400,18700,19700,20000,19900,21200,20400,22000,24300,24100,24200,25800,26800,27100,27700,0.037433155,-0.036082474,0.053475936,0.015228426,-0.005,0.065326633,-0.037735849,0.078431373,0.104545455,-0.008230453,0.004149378,0.066115702,0.03875969,0.01119403,0.022140221,1.024860807
E09000004,Bexley,17200,17300,18300,17800,17700,17700,19400,19600,19800,22100,22600,22300,23100,24400,24400,24500,0.005813953,0.057803468,-0.027322404,-0.005617978,0,0.096045198,0.010309278,0.010204082,0.116161616,0.022624434,-0.013274336,0.035874439,0.056277056,0,0.004098361,1.022356476
E09000005,Brent,16500,16800,16500,16400,16800,16500,17600,18200,18300,19600,19700,20200,20600,21300,22700,23200,0.018181818,-0.017857143,-0.006060606,0.024390244,-0.017857143,0.066666667,0.034090909,0.005494505,0.071038251,0.005102041,0.025380711,0.01980198,0.033980583,0.0657277,0.022026432,1.021527947
E09000006,Bromley,18500,19500,19100,20100,21400,20900,22400,23000,23200,24900,25800,25100,26900,27200,28100,29800,0.054054054,-0.020512821,0.052356021,0.064676617,-0.023364486,0.071770335,0.026785714,0.008695652,0.073275862,0.036144578,-0.027131783,0.071713147,0.011152416,0.033088235,0.060498221,1.03024445
E09000007,Camden,20500,19700,19800,21700,21300,23200,24200,25900,26900,28400,29400,30400,31600,32000,33100,34400,-0.03902439,0.005076142,0.095959596,-0.01843318,0.089201878,0.043103448,0.070247934,0.038610039,0.055762082,0.035211268,0.034013605,0.039473684,0.012658228,0.034375,0.039274924,1.032880995
E09000008,Croydon,16700,17300,18300,18000,19000,18600,19600,20700,20900,23100,22000,22700,23900,24300,25100,26300,0.035928144,0.057803468,-0.016393443,0.055555556,-0.021052632,0.053763441,0.056122449,0.009661836,0.105263158,-0.047619048,0.031818182,0.052863436,0.016736402,0.032921811,0.047808765,1.028791707
E09000009,Ealing,16400,17000,17500,18900,19400,19100,19000,19900,20200,21800,20800,21300,22700,23200,24600,24900,0.036585366,0.029411765,0.08,0.026455026,-0.015463918,-0.005235602,0.047368421,0.015075377,0.079207921,-0.04587156,0.024038462,0.0657277,0.022026432,0.060344828,0.012195122,1.02644272
E09000010,Enfield,16100,15900,17500,18100,18200,17000,18900,19500,19900,22100,20900,22300,22700,23900,25300,25100,-0.01242236,0.100628931,0.034285714,0.005524862,-0.065934066,0.111764706,0.031746032,0.020512821,0.110552764,-0.054298643,0.066985646,0.01793722,0.052863436,0.058577406,-0.007905138,1.028141739
